Name,Ingredients,Recipe,Spiciness,times,imageFile
고추장찌개,"고추장, 두부, 애호박, 양파, 청양고추, 돼지고기, 마늘","1. 두부, 애호박, 양파를 썰어 준비합니다. 
2. 돼지고기를 볶아 기름을 제거합니다. 
3. 고추장과 물을 넣고 끓입니다. 
4. 준비한 재료를 모두 넣고 끓입니다. 
5. 청양고추와 마늘을 추가해 마무리합니다.",4,45
천천히 익힌 한우,"한우, 소금, 후추, 마늘, 로즈마리","1. 한우를 소금, 후추, 마늘, 로즈마리로 재웁니다. 
2. 오븐에서 저온으로 천천히 익힙니다.",0,240
매운참깨갈비,"갈비, 참깨, 고추, 마늘, 고추장, 간장","1. 갈비를 손질하여 준비합니다. 
2. 고추장, 간장, 마늘, 고추를 섞어 양념장을 만듭니다. 
3. 갈비를 양념장에 재워둡니다. 
4. 참깨를 뿌려 구워냅니다.",5,90
떡갈비,"갈비, 떡, 양파, 간장, 참기름, 마늘","1. 갈비와 떡을 다져 섞습니다. 
2. 양파, 간장, 참기름, 마늘을 넣고 반죽을 만듭니다. 
3. 반죽을 모양 잡아 구워냅니다.",1,60
참깨냉면,"냉면, 참깨, 오이, 계란, 고추","1. 냉면을 삶아 찬물에 헹굽니다. 
2. 참깨 소스를 만들어 냉면에 뿌립니다. 
3. 오이와 계란, 고추를 얹어냅니다.",2,30
한우전골,"한우, 버섯, 두부, 양파, 간장, 마늘","1. 한우를 손질하고 준비합니다. 
2. 버섯, 두부, 양파를 썰어 준비합니다. 
3. 한우를 끓는 물에 데쳐 기름을 제거합니다. 
4. 모든 재료를 넣고 간장과 마늘로 간을 맞춰 끓입니다.",1,60
바베큐 치킨 야키토리 케밥,"치킨, 야채, 간장, 마늘, 참기름","1. 치킨과 야채를 손질하여 꼬치에 끼웁니다. 
2. 간장, 마늘, 참기름을 섞어 양념장을 만듭니다. 
3. 치킨과 야채를 양념장에 재워둡니다. 
4. 바베큐 그릴에서 구워냅니다.",2,45
저칼로리 초콜릿 와사비 푸딩,"초콜릿, 와사비, 우유, 설탕","1. 초콜릿을 녹입니다. 
2. 우유와 설탕을 넣고 섞어 푸딩을 만듭니다. 
3. 와사비를 약간 넣어 맛을 냅니다. 
4. 푸딩을 냉장고에서 굳힙니다.",3,30
된장 버터 두부,"두부, 된장, 버터, 마늘","1. 두부를 손질하여 준비합니다. 
2. 버터와 마늘을 팬에 녹여 향을 냅니다. 
3. 된장을 넣고 섞어 소스를 만듭니다. 
4. 두부를 소스에 넣고 볶습니다.",1,20
돼지고기 돈까스,"돼지고기, 빵가루, 계란, 밀가루, 소금","1. 돼지고기를 손질하여 얇게 펴줍니다. 
2. 밀가루, 계란, 빵가루를 순서대로 입혀줍니다. 
3. 팬에 기름을 두르고 돈까스를 튀겨냅니다.",0,45
